"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2759","displayHotelPriceWhenRequiredParameterIsMissing()","","Sat Feb 15 17:19:49 GMT 2025","passed","Sat Feb 15 17:19:52 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenRequiredParameterIsMissing"
"","3339","searchHotelByCoordinate(Hotels) [1] Hotels.HOTEL_MILANO(hotelName=Milano Hotel, locationName=Bourgas, Bulgaria, locationId=609, lat=42.51981, lon=27.46851)","","Sat Feb 15 17:19:49 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","341","displayHotelPriceWhenLocationIdProvided(Integer, List, Integer) [2] 2696, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_MUSTI(hotelName=Musti Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31…, 7","","Sat Feb 15 17:20:02 GMT 2025","broken","Sat Feb 15 17:20:03 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationIdProvided"
"","696","userLoginWithoutPassword()","","Sat Feb 15 17:19:52 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoginWithoutPassword"
"","97","checkColorElementsSizePerPage()","","Sat Feb 15 17:19:52 GMT 2025","passed","Sat Feb 15 17:19:52 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorElementsSizePerPage"
"","232","searchHotelByName(String, String) [2] Tac Premier Hotel & Spa, Alanya, Turkey","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","2758","searchHotelWhenRequiredParameterIsMissing()","","Sat Feb 15 17:19:49 GMT 2025","passed","Sat Feb 15 17:19:52 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWhenRequiredParameterIsMissing"
"","652","checkUserAvatarAndEmail()","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkUserAvatarAndEmail"
"","208","userRegistrationWithoutPassword()","","Sat Feb 15 17:19:52 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userRegistrationWithoutPassword"
"","8885","searchHotelByCoordinate(Hotels) [3] Hotels.HOTEL_GRAND(hotelName=Grand Hotel Bernardin, locationName=Portoroz, Slovenia, locationId=3035, lat=45.51702, lon=13.5697)","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:20:02 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","316","searchHotelByName(String, String) [3] Grand Hotel Bernardin, Portoroz, Slovenia","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","202","userRegisteredSuccessfully()","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userRegisteredSuccessfully"
"","307","displayHotelPriceWhenLocationNameProvided(String, List, Integer) [2] Alanya, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_MUSTI(hotelName=Musti Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31…, 14","","Sat Feb 15 17:20:02 GMT 2025","broken","Sat Feb 15 17:20:03 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationNameProvided"
"","345","checkHotelDataForPastPeriod()","","Sat Feb 15 17:19:52 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","checkHotelDataForPastPeriod"
"","284","searchHotelWithEmptyQuery(String) [2] ","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWithEmptyQuery"
"","254","searchHotelByName(String, String) [1] Hotel Valencia Center, Valencia, Spain","","Sat Feb 15 17:19:53 GMT 2025","passed","Sat Feb 15 17:19:53 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","2787","userLoggedInSuccessfully()","","Sat Feb 15 17:19:49 GMT 2025","passed","Sat Feb 15 17:19:52 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoggedInSuccessfully"
