"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2885","displayHotelPriceWhenRequiredParameterIsMissing()","","Tue Jan 28 12:41:48 GMT 2025","passed","Tue Jan 28 12:41:50 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenRequiredParameterIsMissing"
"","2892","searchHotelWhenRequiredParameterIsMissing()","","Tue Jan 28 12:41:48 GMT 2025","passed","Tue Jan 28 12:41:50 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWhenRequiredParameterIsMissing"
"","2887","userLoggedInSuccessfully()","","Tue Jan 28 12:41:48 GMT 2025","passed","Tue Jan 28 12:41:50 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoggedInSuccessfully"
