"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","334","searchHotelByName(String, String) [3] Grand Hotel Bernardin, Portoroz, Slovenia","","Sat Feb 15 17:21:37 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","5146","searchHotelByCoordinate(Hotels) [3] Hotels.HOTEL_GRAND(hotelName=Grand Hotel Bernardin, locationName=Portoroz, Slovenia, locationId=3035, lat=45.51702, lon=13.5697)","","Sat Feb 15 17:21:37 GMT 2025","passed","Sat Feb 15 17:21:42 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","391","checkHotelDataForPastPeriod()","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","checkHotelDataForPastPeriod"
"","3","checkFailing()","","Sat Feb 15 17:21:42 GMT 2025","failed","Sat Feb 15 17:21:42 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkFailing"
"","3304","displayHotelPriceWhenLocationIdProvided(Integer, List, Integer) [1] 4164, [Hotels.HOTEL_LAS_ARENAS(hotelName=Las Arenas Balneario Resort, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_EUROSTARS(hotelName=Eurostars Rey Don Jaime, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_MALCOM(hotelName=Hotel Malcom and Barret, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_VENECIA(hotelName=Venecia Plaza Centro, locationName=Valencia, Spain, locationId=4164, …, 1","","Sat Feb 15 17:21:33 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationIdProvided"
"","360","searchHotelByName(String, String) [2] Tac Premier Hotel & Spa, Alanya, Turkey","","Sat Feb 15 17:21:37 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","3006","checkColorsSortedYears()","","Sat Feb 15 17:21:33 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorsSortedYears"
"","1808","searchHotelByCoordinate(Hotels) [2] Hotels.HOTEL_TAC_PREMIER(hotelName=Tac Premier Hotel & Spa, locationName=Alanya, Turkey, locationId=2696, lat=36.54899, lon=31.98159)","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:38 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","217","userRegisteredSuccessfully()","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userRegisteredSuccessfully"
"","3002","displayHotelPriceWhenRequiredParameterIsMissing()","","Sat Feb 15 17:21:33 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenRequiredParameterIsMissing"
"","3231","searchHotelByCoordinate(Hotels) [1] Hotels.HOTEL_MILANO(hotelName=Milano Hotel, locationName=Bourgas, Bulgaria, locationId=609, lat=42.51981, lon=27.46851)","","Sat Feb 15 17:21:33 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","3001","searchHotelWhenRequiredParameterIsMissing()","","Sat Feb 15 17:21:33 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWhenRequiredParameterIsMissing"
"","334","searchHotelWithEmptyQuery(String) [2] ","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWithEmptyQuery"
"","91","checkColorElementsSizePerPage()","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:36 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorElementsSizePerPage"
"","376","displayHotelPriceWhenLocationNameProvided(String, List, Integer) [2] Alanya, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_BLUE_HEAVEN(hotelName=Blue Heaven Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.54…, 14","","Sat Feb 15 17:21:37 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationNameProvided"
"","744","checkUserAvatarAndEmail()","","Sat Feb 15 17:21:36 GMT 2025","passed","Sat Feb 15 17:21:37 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkUserAvatarAndEmail"
