"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","338","displayHotelPriceWhenLocationNameProvided(String, List, Integer) [1] Valencia, [Hotels.HOTEL_LAS_ARENAS(hotelName=Las Arenas Balneario Resort, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_EUROSTARS(hotelName=Eurostars Rey Don Jaime, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_MALCOM(hotelName=Hotel Malcom and Barret, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_VENECIA(hotelName=Venecia Plaza Centro, locationName=Valencia, Spain, locationId=4164, …, 1","","Tue Jan 28 15:55:24 GMT 2025","passed","Tue Jan 28 15:55:25 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationNameProvided"
"","8122","searchHotelByCoordinate(Hotels) [1] Hotels.HOTEL_MILANO(hotelName=Milano Hotel, locationName=Bourgas, Bulgaria, locationId=609, lat=42.51981, lon=27.46851)","","Tue Jan 28 15:55:21 GMT 2025","passed","Tue Jan 28 15:55:29 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByCoordinate"
"","2940","checkColorsSortedYears()","","Tue Jan 28 15:55:21 GMT 2025","passed","Tue Jan 28 15:55:24 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorsSortedYears"
"","2922","userLoggedInSuccessfully()","","Tue Jan 28 15:55:21 GMT 2025","passed","Tue Jan 28 15:55:24 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoggedInSuccessfully"
"","266","searchHotelByName(String, String) [2] Tac Premier Hotel & Spa, Alanya, Turkey","","Tue Jan 28 15:55:25 GMT 2025","passed","Tue Jan 28 15:55:25 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","2884","searchHotelWhenRequiredParameterIsMissing()","","Tue Jan 28 15:55:21 GMT 2025","passed","Tue Jan 28 15:55:24 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWhenRequiredParameterIsMissing"
"","625","userLoginWithoutPassword()","","Tue Jan 28 15:55:24 GMT 2025","passed","Tue Jan 28 15:55:25 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoginWithoutPassword"
"","2893","displayHotelPriceWhenRequiredParameterIsMissing()","","Tue Jan 28 15:55:21 GMT 2025","passed","Tue Jan 28 15:55:24 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenRequiredParameterIsMissing"
"","614","displayHotelPriceWhenLocationNameProvided(String, List, Integer) [2] Alanya, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_MUSTI(hotelName=Musti Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31…, 14","","Tue Jan 28 15:55:25 GMT 2025","passed","Tue Jan 28 15:55:25 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationNameProvided"
"","359","displayHotelPriceWhenLocationIdProvided(Integer, List, Integer) [2] 2696, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_MUSTI(hotelName=Musti Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31…, 7","","Tue Jan 28 15:55:24 GMT 2025","passed","Tue Jan 28 15:55:25 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationIdProvided"
