"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2817","userLoggedInSuccessfully()","","Tue Jan 28 12:34:02 GMT 2025","passed","Tue Jan 28 12:34:05 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userLoggedInSuccessfully"
"","2820","displayHotelPriceWhenRequiredParameterIsMissing()","","Tue Jan 28 12:34:02 GMT 2025","passed","Tue Jan 28 12:34:05 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenRequiredParameterIsMissing"
"","2821","searchHotelWhenRequiredParameterIsMissing()","","Tue Jan 28 12:34:02 GMT 2025","passed","Tue Jan 28 12:34:05 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWhenRequiredParameterIsMissing"
